n_gen,GP pop_size,NEAT pop_size,GP Average Fitness Score,NEAT Average Fitness Score,GP Average Evaluation Time,NEAT Average Evaluation Time,GP Number of Evaluations,NEAT Number of Evaluations,GP Best Route Count,NEAT Best Route Count,Winner
20,50,35,-75.6,-21.4,0.21,0.22,9,11,5,5,GP
20,50,35,-16.88,-15.09,0.21,0.22,9,13,6,8,NEAT
20,50,35,-19.0,-17.52,0.24,0.23,11,15,3,8,NEAT
20,50,35,-20.24,-31.71,0.11,0.25,9,6,6,0,GP
20,50,35,-22.75,-41.8,0.2,0.24,14,13,7,6,NEAT
20,50,35,-122.4,-47.94,0.24,0.23,22,24,5,11,NEAT
20,50,35,-18.62,-129.07,0.17,0.24,11,15,6,8,GP
20,50,35,-193.88,-10.5,0.17,0.22,11,10,7,5,NEAT
20,50,35,-14.97,-26.32,0.22,0.23,14,16,9,8,NEAT
20,50,35,-85.02,-18.56,0.16,0.23,15,9,9,3,NEAT
20,50,35,-11.98,-85.25,0.18,0.28,7,6,6,2,GP
20,50,35,-133.68,-35.68,0.14,0.25,11,13,7,6,NEAT
20,50,35,-36.5,-12.11,0.23,0.21,10,10,2,5,NEAT
20,50,35,-183.94,-48.54,0.24,0.24,26,21,8,5,GP
20,50,35,-63.69,-17.19,0.16,0.23,12,10,7,6,NEAT
20,50,35,-31.18,-12.15,0.31,0.26,7,9,2,6,NEAT
20,50,35,-73.36,-19.29,0.34,0.22,8,10,2,3,NEAT
20,50,35,-27.46,-13.19,0.24,0.22,9,15,3,6,NEAT
20,50,35,-18.41,-73.79,0.19,0.28,15,12,6,3,GP
20,50,35,-12.73,-57.47,0.16,0.25,11,9,7,2,GP
20,50,35,-55.59,-73.69,0.32,0.26,17,25,5,11,GP
20,50,35,-143.55,-13.77,0.24,0.23,11,13,3,5,NEAT
20,50,35,-111.55,-48.39,0.18,0.2,14,14,6,5,GP
20,50,35,-191.35,-19.52,0.18,0.23,13,10,7,5,NEAT
20,50,35,-25.93,-18.7,0.22,0.25,11,8,5,5,NEAT
40,50,35,-22.82,-28.19,0.45,0.43,7,14,2,3,GP
40,50,35,-26.63,-51.59,0.36,0.44,14,11,7,6,GP
40,50,35,-276.46,-23.1,0.22,0.46,16,13,9,7,NEAT
40,50,35,-90.85,-52.91,0.32,0.42,16,15,9,6,GP
40,50,35,-136.14,-39.05,0.36,0.42,23,19,12,9,NEAT
40,50,35,-19.04,-19.69,0.42,0.43,10,12,8,3,GP
40,50,35,-54.73,-43.84,0.39,0.44,13,13,6,6,NEAT
40,50,35,-68.65,-105.25,0.3,0.41,21,15,12,6,NEAT
40,50,35,-26.95,-23.11,0.41,0.43,10,9,5,5,NEAT
40,50,35,-112.33,-32.3,0.35,0.42,6,7,4,5,NEAT
40,50,35,-61.02,-35.85,0.52,0.43,11,15,3,6,NEAT
40,50,35,-135.34,-10.89,0.31,0.44,8,9,5,6,NEAT
40,50,35,-43.68,-61.41,0.3,0.43,17,17,9,6,GP
40,50,35,-6.65,-49.86,0.24,0.39,11,11,11,4,GP
40,50,35,-151.75,-12.42,0.6,0.46,13,12,5,7,NEAT
40,100,70,-12.96,-35.34,0.43,0.83,6,7,6,5,NEAT
40,100,70,-86.92,-10.08,0.87,0.96,10,8,5,6,NEAT
40,100,70,-38.86,-53.6,0.8,0.93,12,20,5,9,NEAT
40,100,70,-34.16,-17.05,0.77,0.97,12,11,11,6,NEAT
40,100,70,-7.98,-59.52,0.38,0.95,11,10,11,3,GP
40,100,70,-171.2,-10.53,1.03,0.92,7,10,4,7,NEAT
40,100,70,-22.6,-31.4,0.77,0.86,15,17,5,9,NEAT
40,100,70,-38.56,-16.42,0.59,1.0,9,8,8,4,GP
40,100,70,-36.33,-50.88,0.77,1.07,9,11,6,7,GP
40,100,70,-24.35,-19.74,0.82,0.89,9,12,7,7,NEAT
